std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code
LEE S LIQUOR #1 SUNSET,LIQUOR/PACKAGE STORE,OFF,4427 E SUNSET RD,HENDERSON,NV,89014
RIVERSIDE LIQUORS INC.,LIQUOR/PACKAGE STORE,OFF,2728 BROADWAY,NEW YORK,NY,10025
SUNNY S WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,161 3RD AVE,NEW YORK,NY,10003
STONEFIELD LIQUOR,LIQUOR/PACKAGE STORE,OFF,3503 S SAM HOUSTON PKWY E STE 100,HOUSTON,TX,77047
Golden Package,LIQUOR/PACKAGE STORE,OFF,10707 Commerce St,Summerville,GA,30747
RICKY LIQUOR STORE,LIQUOR/PACKAGE STORE,OFF,7818 WOODSIDE AVE,ELMHURST,NY,11373
LITTLE DAISY LIQUOR,LIQUOR/PACKAGE STORE,OFF,401 US HIGHWAY 24 NORTH,BUENA VISTA,CO,81211
WEST VIEW BOTTLE APOSTLE,LIQUOR/PACKAGE STORE,OFF,14055 GOLDENWEST ST,WESTMINSTER,CA,92683
CAMBRIDGE SPIRITS,LIQUOR/PACKAGE STORE,OFF,250 KENDALL ST,CAMBRIDGE,MA,02142
7 WINE 6 INC,LIQUOR/PACKAGE STORE,OFF,912 ELMWOOD AVE,BUFFALO,NY,14222
VAL S LIQUORS,LIQUOR/PACKAGE STORE,OFF,1531 3RD ST,NAPA,CA,94559
KENT CELLARS FINE WINE,LIQUOR/PACKAGE STORE,OFF,3475 S UNIVERSITY BLVD,ENGLEWOOD,CO,80113
GREAT AMERICAN CRAFT SPIRITS,LIQUOR/PACKAGE STORE,OFF,29911 AVENTURA #E,RCHO STA MARG,CA,92688
Rockhouse Beverage,LIQUOR/PACKAGE STORE,OFF,122 RockhouseRoad,Senoia,GA,30276
QUALITY MART,LIQUOR/PACKAGE STORE,OFF,21 MASS AVE,BOSTON,MA,02115
Valkyria Group LLC,LIQUOR/PACKAGE STORE,OFF,6035 Peachtree Rd Ste 106,Doraville,GA,30360
ABC Warehouse,LIQUOR/PACKAGE STORE,OFF,1100 Eisenhower DR,Savannah,GA,31406
STAR LIQUORS IV,LIQUOR/PACKAGE STORE,OFF,10650 FOREST HILL BLVD,WELLINGTON,FL,33414
Wilshire Liquor Beer & Wine,LIQUOR/PACKAGE STORE,OFF,1200 Highway 74 S Ste 8,Peachtree City,GA,30269
BARRELS & STILLS WINES SPIRITS,LIQUOR/PACKAGE STORE,OFF,685 WALT WHITMAN RD,MELVILLE,NY,11747
HUDSON WINE & SPIRITS INC,LIQUOR/PACKAGE STORE,OFF,165 HUDSON ST,NEW YORK,NY,10013
LEE S LIQUOR #115 FLAMBOW,LIQUOR/PACKAGE STORE,OFF,4230 S RAINBOW BLVD,LAS VEGAS,NV,89103
HAMPTON BAYS WINE AND SPIRITS,LIQUOR/PACKAGE STORE,OFF,46 E. MONTAUK HIGHWAY,HAMPTON BAYS,NY,11946
Brandon s Package Store,LIQUOR/PACKAGE STORE,OFF,101 Petrol Pt,Peachtree City,GA,30269
Sigman Bottle Shop,LIQUOR/PACKAGE STORE,OFF,439 Sigman Rd NW  Ste A,Conyers,GA,30012
Riverwood Wine & Spirits,LIQUOR/PACKAGE STORE,OFF,5118 Washington Rd,Evans,GA,30809
LEE S LIQUOR #10 WARM SPRINGS,LIQUOR/PACKAGE STORE,OFF,8785 W WARM SPRINGS RD,LAS VEGAS,NV,89148
AAA DISCOUNT LIQUORS OUTLET,LIQUOR/PACKAGE STORE,OFF,2175 60TH AVE EAST,ELLENTON,FL,34222
MAYFAIR LIQUORS,LIQUOR/PACKAGE STORE,OFF,1385 KRAMERIA ST,DENVER,CO,80220
RHINO LIQUORS,LIQUOR/PACKAGE STORE,OFF,6820 CO-82,GLENWOOD SPRINGS,CO,81601
HOVER CROSSING WINE & SPIRITS,LIQUOR/PACKAGE STORE,OFF,1844 HOVER ST UNIT E,LONGMONT,CO,80501
LIQUOR PARK,LIQUOR/PACKAGE STORE,OFF,2001 COIT ROAD SUITE 307,PLANO,TX,75075
172 BARGAIN LIQUORS,LIQUOR/PACKAGE STORE,OFF,172 SUNRISE HWY.,ROCKVILLE CENTRE,NY,11570
LEE S LIQUOR #14 BOULDER,LIQUOR/PACKAGE STORE,OFF,1388 S BOULDER HWY,HENDERSON,NV,89015
Hwy 5 Beverage Center,LIQUOR/PACKAGE STORE,OFF,9079 Hwy 5,Douglasville,GA,30134
VILLAGE WAREHOUSE WINES,LIQUOR/PACKAGE STORE,OFF,0101 FAWCETT RD,AVON,CO,81620
Broughton Street Liquor,LIQUOR/PACKAGE STORE,OFF,14 E Broughton St,Savannah,GA,31401
MARSHFIELD BLANCHARDS INC,LIQUOR/PACKAGE STORE,OFF,700 PLAIN ST,MARSHFIELD,MA,02050
TUSTIN WINE SPIRITS,LIQUOR/PACKAGE STORE,OFF,14211 REDHILL AVE,TUSTIN,CA,92780
LEE S LIQUOR #9 MESQUITE,LIQUOR/PACKAGE STORE,OFF,670 W PIONEER BLVD,MESQUITE,NV,89027
SAKEONE,LIQUOR/PACKAGE STORE,OFF,820 ELM STREET,FOREST GROVE,OR,97116
THE LIQUOR STORE,LIQUOR/PACKAGE STORE,OFF,7715 DUBLIN BOULEVARD #140,COLORADO SPRINGS,CO,80923
NEW GOLDEN WINE & LIQUOR,LIQUOR/PACKAGE STORE,OFF,41-08 BELL BLVD,BAYSIDE,NY,11361
K & L WINE MERCHANTS,LIQUOR/PACKAGE STORE,OFF,1400-1408 VINE ST,LOS ANGELES,CA,90028
FLASK HP,LIQUOR/PACKAGE STORE,OFF,5900 N FIGUEROA ST,LOS ANGELES,CA,90042
WINE & LIQUOR DEPOT,LIQUOR/PACKAGE STORE,OFF,207 ISLIP AVE,ISLIP,NY,11751
HAPPY S MARKET & SPIRITS,LIQUOR/PACKAGE STORE,OFF,807 N AVENUE 50 #11,LOS ANGELES,CA,90042
RED MOUNTAIN LIQUOR,LIQUOR/PACKAGE STORE,OFF,81 GILLASPEY AVE,CRESTED BUTTE,CO,81224
