std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code,id
NAMINOHANA,RESTAURANT,ON,5521 GREENVILLE AVE ST 111,DALLAS,TX,75206,86d4aa33-70fa-4afd-940c-9c81a085e746
Three Dollar Cafe,RESTAURANT,ON,3000 Windy Hill Rd SE STE 132,Marietta,GA,30067,951c4caf-887a-4f89-9a23-378b5658fe88
Marietta Melt Yard,RESTAURANT,ON,800 Whitlock Ave NW Ste 124,Marietta,GA,30064,dbf9db1e-ea1e-4c4b-9d4d-bf2fb45936ca
ASIAN MINT,RESTAURANT,ON,11617 N CENTRAL EXPY STE 135,DALLAS,TX,75243,bdbc31e4-59b6-4883-82e3-5fd00b626bff
OWA,RESTAURANT,ON,1635-1637 ABBOT KINNEY BLVD,VENICE,CA,90291,8fab665f-6d18-416e-81fe-4443490b86e2
TROPICAL SMOKEHOUSE,RESTAURANT,ON,3815 S DIXIE HWY,WEST PALM BEACH,FL,33405,93e9cee1-b78d-4739-841e-1a002e4208d7
The Monte Cristo (Montecello),RESTAURANT,ON,2000 Powers Ferry Rd  #1-3,Marietta,GA,30067,4fd249e1-c319-4809-a3cb-6367728b90ab
Kelley s Tavern & Grill LLC,RESTAURANT,ON,628 EE Butler Parkway,Gainesville,GA,30501,c66e89eb-a41b-48cd-8f78-9899f0ef7a1f
LOTUS OF SIAM,RESTAURANT,ON,620 E FLAMINGO RD,LAS VEGAS,NV,89119,82385271-912f-40eb-bf73-a20e29eb7762
RED DOOR HIBACHI STEAK HOUSE,RESTAURANT,ON,3881 NE 163RD STREET,NORTH MIAMI BEACH,FL,33160,ff547983-0e6f-47a6-ba2c-cc80615b4627
